spread,sensitivity,final_pnl,final_inventory,std_inventory,sharpe,max_drawdown,hit_rate
0.01,0.001,59.88932382086402,-40,13.156980547874086,0.07012138154465322,-31.223495235792917,0.353
0.01,0.01,9.661854736118157,-10,3.2568829095142937,0.037154220333492124,-47.210216694483485,0.044
0.01,0.02,4.137518830418534,-5,1.7773753298229003,0.018709097373266412,-86.45632252645423,0.038
0.01,0.03,2.3915582159817736,-4,1.3940744038405712,0.014602430572744051,-262.8328790048845,0.025
0.01,0.05,-1.2105599130069575,-2,0.9340623493495885,-0.0009711575917580302,-0.0,0.022
0.05,0.001,73.20932382086397,-40,13.156980547874086,0.08538782813577171,-18.066660617149957,0.353
0.05,0.01,9.155235420371186,-8,2.6551325256432547,0.03568210769461922,-23.591635646071968,0.042
0.05,0.02,3.941558215981772,-4,1.3940744038405712,0.021117241835933567,-34.13487891831143,0.025
0.05,0.03,2.252867100937239,-3,1.1615180257422282,0.014045076982407232,-53.04136795621154,0.024
0.05,0.05,-0.3705599130069568,-2,0.9340623493495885,0.002728194245815902,-289.0387498306885,0.022
0.1,0.001,89.79481009881478,-51,14.510867799145725,0.10985003395895204,-11.146948229788654,0.308
0.1,0.01,8.712358911119034,-6,2.0647913607343873,0.03475558436408169,-13.519873287813303,0.039
0.1,0.02,4.037867100937245,-3,1.1615180257422282,0.021590994072425835,-17.4346779416515,0.024
0.1,0.03,2.0994400869930487,-2,0.9340623493495885,0.013656466220270155,-23.44912534443,0.022
0.1,0.05,0.5936689775532256,-2,0.9212756095483852,0.007290631149509087,-48.15244436616735,0.02
0.15,0.001,34.57227505843043,-26,8.33378491268949,0.09811046910774898,-7.531024109855614,0.079
0.15,0.01,5.822867100937241,-3,1.1615180257422282,0.029018995915440573,-8.944246986706458,0.024
0.15,0.02,3.8594400869930454,-2,0.9340623493495885,0.021297588294088392,-10.891964712104178,0.022
0.15,0.03,1.8424650691214566,-1,0.7104848969462958,0.013140419828437128,-13.716959513459662,0.019
0.15,0.05,0.4024650691214571,-1,0.7104848969462958,0.006355507678342774,-23.40882618392589,0.019
0.2,0.001,4.855465069121464,-1,0.7104848969462958,0.026859521391522093,-5.906818014129273,0.019
0.2,0.01,4.2074650691214615,-1,0.7104848969462958,0.023957797283733085,-6.40308559691188,0.019
0.2,0.02,3.4874650691214617,-1,0.7104848969462958,0.020691295121716677,-7.506764266595105,0.019
0.2,0.03,2.767465069121461,-1,0.7104848969462958,0.0173829220407948,-9.071349588219459,0.019
0.2,0.05,1.3274650691214607,-1,0.7104848969462958,0.010652988180258787,-13.991285938944223,0.019
